KOTA JAKARTA,-6.18,106.87
KAB. ADMINISTRASI KEPULAUAN SERIBU,-5.61,106.62
KAB. BANJARNEGARA,-7.38,109.62
KAB. BANYUMAS,-7.48,109.14
KAB. BATANG,-7.04,109.90
KAB. BLORA,-7.01,111.38
KAB. BOYOLALI,-7.43,110.69
KAB. BREBES,-6.96,108.90
KAB. CILACAP,-7.62,108.90
KAB. DEMAK,-6.92,110.66
KAB. GROBOGAN,-7.15,110.95
KAB. JEPARA,-6.58,110.68
KAB. KARANGANYAR,-7.64,111.05
KAB. KEBUMEN,-7.67,109.65
KAB. KENDAL,-7.03,110.19
KAB. KLATEN,-7.66,110.66
KAB. KUDUS,-6.77,110.88
KAB. MAGELANG,-7.43,110.28
KAB. PATI,-6.75,111.05
KAB. PEKALONGAN,-7.05,109.62
KAB. PEMALANG,-7.06,109.43
KAB. PURBALINGGA,-7.31,109.43
KAB. PURWOREJO,-7.70,110.00
KAB. REMBANG,-6.81,111.43
KAB. SEMARANG,-7.18,110.47
KAB. SRAGEN,-7.43,111.01
KAB. SUKOHARJO,-7.65,110.86
KAB. TEGAL,-6.86,109.10
KAB. TEMANGGUNG,-7.27,110.09
KAB. WONOGIRI,-7.88,111.05
KAB. WONOSOBO,-7.36,109.90
KOTA MAGELANG,-7.48,110.22
KOTA PEKALONGAN,-6.89,109.67
KOTA SALATIGA,-7.33,110.51
KOTA SEMARANG,-7.01,110.44
KOTA SURAKARTA,-7.58,110.82
KOTA TEGAL,-6.88,109.13
KAB. BANTUL,-7.92,110.38
KAB. GUNUNGKIDUL,-8.03,110.62
KAB. KULON PROGO,-7.83,110.16
KAB. SLEMAN,-7.73,110.40
KOTA YOGYAKARTA,-7.80,110.37
KAB. BANGKALAN,-7.04,112.91
KAB. BANYUWANGI,-8.22,114.37
KAB. BLITAR,-8.10,112.16
KAB. BOJONEGORO,-7.32,111.76
KAB. BONDOWOSO,-7.97,113.91
KAB. GRESIK,-7.16,112.57
KAB. JEMBER,-8.18,113.67
KAB. JOMBANG,-7.57,112.29
KAB. KEDIRI,-7.82,112.19
KAB. LAMONGAN,-7.13,112.33
KAB. LUMAJANG,-8.09,113.14
KAB. MADIUN,-7.61,111.62
KAB. MAGETAN,-7.64,111.36
KAB. MALANG,-8.24,112.72
KAB. MOJOKERTO,-7.47,112.44
KAB. NGANJUK,-7.59,111.90
KAB. NGAWI,-7.46,111.33
KAB. PACITAN,-8.13,111.14
KAB. PAMEKASAN,-7.11,113.53
KAB. PASURUAN,-7.79,112.86
KAB. PONOROGO,-7.87,111.47
KAB. PROBOLINGGO,-7.87,113.48
KAB. SAMPANG,-7.04,113.24
KAB. SIDOARJO,-7.47,112.67
KAB. SITUBONDO,-7.79,114.19
KAB. SUMENEP,-6.93,113.91
KAB. TRENGGALEK,-8.18,111.62
KAB. TUBAN,-6.90,112.03
KOTA BATU,-7.88,112.53
KOTA BLITAR,-8.10,112.16
KOTA KEDIRI,-7.85,112.02
KOTA MADIUN,-7.63,111.53
KOTA MALANG,-7.97,112.63
KOTA MOJOKERTO,-7.47,112.44
KOTA PASURUAN,-7.65,112.90
KOTA PROBOLINGGO,-7.78,113.20
KOTA SURABAYA,-7.26,112.75
KAB. BADUNG,-8.58,115.18
KAB. BANGLI,-8.30,115.35
KAB. BULELENG,-8.22,114.95
KAB. GIANYAR,-8.42,115.26
KAB. JEMBRANA,-8.32,114.67
KAB. KARANGASEM,-8.35,115.52
KAB. KLUNGKUNG,-8.73,115.54
KAB. TABANAN,-8.46,115.05
KOTA DENPASAR,-8.67,115.21
KAB. BIMA,-8.44,118.63
KAB. DOMPU,-8.54,118.35
KAB. LOMBOK BARAT,-8.65,116.11
KAB. LOMBOK TENGAH,-8.69,116.28
KAB. LOMBOK TIMUR,-8.51,116.56
KAB. LOMBOK UTARA,-8.37,116.28
KAB. SUMBAWA,-8.65,117.36
KAB. SUMBAWA BARAT,-8.93,116.89
KOTA BIMA,-8.46,118.74
KOTA MATARAM,-8.58,116.10
KAB. ALOR,-8.29,124.55
KAB. BELU,-9.15,124.91
KAB. ENDE,-8.68,121.72
KAB. FLORES TIMUR,-8.31,122.97
KAB. KUPANG,-9.99,123.89
KAB. LEMBATA,-8.47,123.48
KAB. MALAKA,-9.53,124.91
KAB. MANGGARAI,-8.68,120.39
KAB. MANGGARAI BARAT,-8.67,120.07
KAB. MANGGARAI TIMUR,-8.62,120.62
KAB. NGADA,-8.74,120.99
KAB. NAGEKEO,-8.68,121.31
KAB. ROTE NDAO,-10.74,123.12
KAB. SABU RAIJUA,-10.55,121.83
KAB. SIKKA,-8.68,122.13
KAB. SUMBA BARAT,-9.65,119.39
KAB. SUMBA BARAT DAYA,-9.54,119.14
KAB. SUMBA TENGAH,-9.49,119.70
KAB. SUMBA TIMUR,-9.98,120.34
KAB. TIMOR TENGAH SELATAN,-9.78,124.42
KAB. TIMOR TENGAH UTARA,-9.45,124.60
KOTA KUPANG,-10.18,123.61
KAB. BENGKAYANG,1.07,109.66
KAB. KAPUAS HULU,0.83,113.00
KAB. KAYONG UTARA,-0.92,110.05
KAB. KETAPANG,-1.57,110.52
KAB. KUBU RAYA,-0.35,109.47
KAB. LANDAK,0.42,109.76
KAB. MELAWI,-0.70,111.67
KAB. MEMPAWAH,0.39,109.14
KAB. SAMBAS,1.36,109.28
KAB. SANGGAU,0.14,110.52
KAB. SEKADAU,-0.07,111.00
KAB. SINTANG,-0.14,112.81
KOTA PONTIANAK,-0.03,109.34
KOTA SINGKAWANG,906.00,108.99
KAB. BALANGAN,-2.33,115.62
KAB. BANJAR,-3.32,115.00
KAB. BARITO KUALA,-3.07,114.67
KAB. HULU SUNGAI SELATAN,-2.77,115.24
KAB. HULU SUNGAI TENGAH,-2.62,115.52
KAB. HULU SUNGAI UTARA,-2.44,115.19
KAB. KOTABARU,-3.00,115.95
KAB. TABALONG,-1.86,115.57
KAB. TANAH BUMBU,-3.45,115.57
KAB. TANAH LAUT,-3.77,114.81
KAB. TAPIN,-2.92,115.05
KOTA BANJARBARU,-3.46,114.81
KOTA BANJARMASIN,-3.32,114.59
KAB. BARITO SELATAN,-1.88,114.81
KAB. BARITO TIMUR,-2.01,115.19
KAB. BARITO UTARA,-0.96,115.09
KAB. GUNUNG MAS,-1.25,113.57
KAB. KAPUAS,-1.81,114.33
KAB. KATINGAN,-0.98,112.81
KAB. KOTAWARINGIN BARAT,-2.51,111.76
KAB. KOTAWARINGIN TIMUR,-2.12,112.81
KAB. LAMANDAU,-1.85,111.28
KAB. MURUNG RAYA,-0.14,114.33
KAB. PULANG PISAU,-2.69,113.95
KAB. SUKAMARA,-2.63,111.24
KAB. SERUYAN,-3.01,112.43
KOTA PALANGKARAYA,-2.22,113.91
KAB. BERAU,2.05,117.36
KAB. KUTAI BARAT,-0.41,115.85
KAB. KUTAI KARTANEGARA,-0.13,116.61
KAB. KUTAI TIMUR,0.94,116.99
KAB. MAHAKAM ULU,0.96,114.71
KAB. PASER,-1.72,115.95
KAB. PENAJAM PASER UTARA,-1.29,116.51
KOTA BALIKPAPAN,-1.24,116.85
KOTA BONTANG,0.12,117.48
KOTA SAMARINDA,-0.49,117.14
KAB. BULUNGAN,2.90,116.99
KAB. MALINAU,3.07,116.04
KAB. NUNUKAN,4.08,116.61
KAB. TANA TIDUNG,3.55,117.08
KOTA TARAKAN,3.33,117.58
KAB. BOALEMO,0.70,122.27
KAB. BONE BOLANGO,0.57,123.35
KAB. GORONTALO,0.57,122.81
KAB. GORONTALO UTARA,0.93,122.49
KAB. POHUWATO,0.71,121.72
KOTA GORONTALO,0.54,123.06
KAB. BANTAENG,-5.52,120.02
KAB. BARRU,-4.44,119.65
KAB. BONE,-4.74,120.07
KAB. BULUKUMBA,-5.43,120.21
KAB. ENREKANG,-3.46,119.88
KAB. GOWA,-5.31,119.74
KAB. JENEPONTO,-5.55,119.67
KAB. KEPULAUAN SELAYAR,-6.29,120.50
KAB. LUWU,-3.31,120.25
KAB. LUWU TIMUR,-2.58,121.17
KAB. LUWU UTARA,-2.27,119.97
KAB. MAROS,-5.05,119.70
KAB. PANGKAJENE DAN KEPULAUAN,-4.81,119.56
KAB. PINRANG,-3.65,119.56
KAB. SIDENRENG RAPPANG,-3.77,120.02
KAB. SINJAI,-5.22,120.11
KAB. SOPPENG,-4.35,119.93
KAB. TAKALAR,-5.42,119.49
KAB. TANA TORAJA,-3.08,119.74
KAB. TORAJA UTARA,-2.86,119.84
KAB. WAJO,-4.02,120.07
KOTA MAKASSAR,-5.15,119.43
KOTA PALOPO,-3.00,120.20
KOTA PAREPARE,-4.01,119.63
KAB. BOMBANA,-4.65,121.90
KAB. BUTON,-5.31,122.99
KAB. BUTON SELATAN,-5.31,122.99
KAB. BUTON TENGAH,-5.39,122.56
KAB. BUTON UTARA,-4.70,123.03
KAB. KOLAKA,-3.99,121.58
KAB. KOLAKA TIMUR,-4.23,121.90
KAB. KOLAKA UTARA,-3.13,121.17
KAB. KONAWE,-3.94,122.08
KAB. KONAWE KEPULAUAN,-4.14,123.12
KAB. KONAWE SELATAN,-4.20,122.45
KAB. KONAWE UTARA,-3.38,122.08
KAB. MUNA,-4.90,122.63
KAB. MUNA BARAT,-4.90,122.63
KAB. WAKATOBI,-5.65,123.89
KOTA BAU-BAU,-5.51,122.60
KOTA KENDARI,-4.00,122.51
KAB. BANGGAI,-0.96,122.63
KAB. BANGGAI KEPULAUAN,-0.96,122.63
KAB. BANGGAI LAUT,-1.67,123.55
KAB. BUOL,0.97,121.35
KAB. DONGGALA,-0.42,119.84
KAB. MOROWALI,-2.70,121.90
KAB. MOROWALI UTARA,-1.63,121.35
KAB. PARIGI MOUTONG,0.58,120.80
KAB. POSO,-1.65,120.44
KAB. SIGI,-1.39,119.88
KAB. TOJO UNA-UNA,-1.10,121.54
KAB. TOLI-TOLI,0.88,120.76
KOTA PALU,-0.90,119.88
KAB. BOLAANG MONGONDOW,0.69,124.06
KAB. BOLAANG MONGONDOW SELATAN,0.41,123.84
KAB. BOLAANG MONGONDOW TIMUR,0.72,124.46
KAB. BOLAANG MONGONDOW UTARA,907.00,123.27
KAB. KEPULAUAN SANGIHE,3.63,125.50
KAB. KEPULAUAN SIAU TAGULANDANG BIARO,2.35,125.41
KAB. KEPULAUAN TALAUD,4.31,126.80
KAB. MINAHASA,1.22,124.82
KAB. MINAHASA SELATAN,1.09,124.46
KAB. MINAHASA TENGGARA,1.03,124.73
KAB. MINAHASA UTARA,1.53,124.99
KOTA BITUNG,1.44,125.12
KOTA KOTAMOBAGU,0.72,124.32
KOTA MANADO,1.47,124.84
KOTA TOMOHON,1.32,124.84
KAB. MAJENE,-3.03,118.91
KAB. MAMASA,-2.91,119.33
KAB. MAMUJU,-2.49,119.33
KAB. MAMUJU TENGAH,-1.94,119.51
KAB. MAMUJU UTARA,-1.53,119.51
KAB. POLEWALI MANDAR,-3.34,119.14
KAB. BURU,-3.33,126.70
KAB. BURU SELATAN,-3.73,126.70
KAB. KEPULAUAN ARU,-6.19,134.55
KAB. MALUKU BARAT DAYA,-7.79,126.35
KAB. MALUKU TENGAH,-3.02,129.49
KAB. MALUKU TENGGARA,-5.75,132.73
KAB. MALUKU TENGGARA BARAT,-7.53,131.36
KAB. SERAM BAGIAN BARAT,-3.13,128.40
KAB. SERAM BAGIAN TIMUR,-3.42,130.23
KOTA AMBON,-3.66,128.19
KOTA TUAL,-5.63,132.75
KAB. HALMAHERA BARAT,1.36,127.60
KAB. HALMAHERA TENGAH,442.00,128.36
KAB. HALMAHERA UTARA,1.51,127.89
KAB. HALMAHERA SELATAN,-1.51,127.72
KAB. KEPULAUAN SULA,-1.85,125.34
KAB. HALMAHERA TIMUR,1.31,128.49
KAB. PULAU MOROTAI,2.37,128.40
KAB. PULAU TALIABU,-1.83,124.77
KOTA TERNATE,771.00,127.37
KOTA TIDORE KEPULAUAN,674.00,127.40
KAB. ASMAT,-5.06,138.40
KAB. BIAK NUMFOR,-1.04,135.98
KAB. BOVEN DIGOEL,-5.74,140.35
KAB. DEIYAI,-4.10,136.44
KAB. DOGIYAI,-4.05,135.68
